PM 2.5,WD
54.76,123.2
49.68,76.29
61.47,72.24
60.26,111.94
76.05,98.78
99.46,147.87
104.45,138.85
76.33,84.34
103.17,110.86
102.37,313.9
99.79,268.21
91.36,190.2
117.01,127.39
64.65,112.71
96.16,144.33
107.89,177.11
78.42,116.95
69.45,95.06
75.58,154.83
91.2,226.52
115.98,73.54
111.55,108.66
135.69,239.92
62.3,129.39
105.21,168.15
95.44,184.55
107.85,67.73
86.7,93.81
95.97,117.46
114.19,139.64
103.69,181.48
99.9,89
96.02,95.46
106.07,83.52
85.89,96.72
111.53,113.78
68.52,116.23
79.25,195.14
113.03,193.71
113.87,184.89
102.22,207.28
135.14,153.17
79.73,166.24
102.01,157.15
55.82,188.07
96.08,172.71
91.59,157.89
79.31,163.04
65.18,175.82
183.1,166.29
186.03,120.41
180.57,165.2
147.17,135.85
114.71,203.61
85.58,150.6
113.13,161.12
92.06,155.95
76.55,185.16
138.11,121.63
107.44,187.34
89.72,174.88
68.69,148.55
68.58,211.31
65.32,131.21
72.62,124.12
93.27,176.57
129.82,175.09
148.58,124.13
134.06,168.02
71.22,205.58
90.18,207.06
94.41,137.43
104.68,153.16
77.73,147.35
69.95,197.57
31.56,190.91
42.45,196.36
84.81,210.21
115,211.45
96.12,177.76
76.49,124.06
74.81,181.92
74.35,139.96
104.86,185.76
110.78,179.47
72.71,191.55
90.97,189.49
81.03,161.76
61.04,106.66
49.89,180.99
78.74,114.67
75.45,114.95
51.4,113.5
79.89,168.72
75.8,132
72.1,139.47
43.71,109.21
52.72,119.89
26.18,111.14
28.55,140.49
29.47,142.11
41.89,171.15
48.39,151.58
61.07,116.23
57.12,117.7
56.78,192.29
47.87,172.3
56.67,174.67
78.75,156.72
69.26,185.65
56.85,232.82
83.25,168.34
87.75,174.92
65.93,202.91
59.46,185.65
66.55,154.03
44.51,121.98
89.59,163.9
94.02,245.01
69.09,264.56
55.19,235.73
47,219.35
52.46,262.7
40.35,195.96
51.09,202.03
45.42,224.67
37.21,219.84
36,225.01
25.89,214.01
25.71,194.7
31.08,193.97
51.24,232.96
43.85,135.96
43.13,100.53
54.71,199.69
67.95,204.16
45.9,285.07
31.35,261.2
28.18,264.8
31.71,258.32
35.1,207.43
25.09,107.1
19.63,79.44
22.18,89.89
21.6,122.88
30.22,139.65
33.26,149.21
53.12,141.98
53.67,270.89
52.63,219.56
62.58,210.31
58.92,209.51
51.51,210.69
53.01,236.34
36.74,258.71
14.9,250.58
20.41,270.2
31.56,231.39
32.48,140.7
15.86,234.4
15.27,276.07
14.13,110.18
20.12,76.03
14.41,142.33
28.71,157.97
47.18,181.66
41.22,231.43
31.07,229.31
20.83,147.6
33.14,123.46
26.4,143.75
24.52,147.48
31.52,150.52
37.65,119.76
49.43,108.48
38.04,134.16
42.96,155.63
47,149.66
28.94,137.03
21.12,141.68
22.17,166.93
34.56,176.27
42.64,184.24
66.64,215.55
70.22,166.59
65.14,79.09
34.69,257.7
26.66,279.09
22.88,251.95
20.56,245.01
11.82,224.98
9.33,196.51
35.43,141.76
58.3,171.96
75.67,213.72
44.06,209.48
43.51,205.39
20.64,221.24
30.12,247.72
24.52,171.42
21.51,136.3
43.42,207.23
36.68,148.68
58.03,192.92
65.23,199.67
85.09,144.87
77.97,205.55
67.78,205.19
39.88,164.89
61.83,170.56
92.45,152.16
15.08,239.85
17.79,254.73
18.82,272.05
9.29,237.59
16.19,254.34
43.04,192.21
69.11,167.65
50.58,149.18
75.1,163.84
87.41,174.52
117.2,156.12
119.96,177.4
112.83,156.15
120.63,205.29
153.14,167.18
135.64,161.03
130.41,132.67
138.24,176.73
183.46,84.29
145.06,90.07
150.72,114.08
209.32,236.98
259.14,250.6
265.37,246.72
245.98,197.25
333.46,161.94
353.21,189.15
291.61,155.3
530.14,75.19
396.09,195.04
242.97,179.73
202.98,169.08
255.51,192.81
288.89,179.39
138.28,172.39
217.79,61.9
221.52,294.86
210.5,258.23
177.65,293.82
175.07,207.76
111.89,103.5
135.93,132.96
152.07,200.09
183.71,177.14
173.35,139.77
191.95,106.45
151.46,307.76
119.96,296.29
114.33,314.03
111.54,306.66
211.26,119.78
193.57,197.21
196.3,208.74
208.18,173.9
254.37,160.59
254.21,135.7
241.42,173.17
252.76,115.3
250.78,63.49
235.5,221.98
198.26,145.55
181.52,188.38
134.66,310.46
149.05,132.39
180.84,21.85
223.49,115.95
147.46,196.17
102.92,127.78
67.9,283.06
90.24,204.83
94.54,184.6
128.75,125.26
190.25,89.71
319.71,127.15
272.28,145.18
198.49,40.68
167.37,42.63
225.38,29.34
198.15,45.89
169.41,190.24
174.4,155.19
209.55,121.88
177.38,280.1
161.88,288.86
242.24,167.24
269.55,233.1
161.8,297.54
147,173.97
261,48.44
240.81,29.77
168.29,63.76
197.66,55.73
236.7,53.43
203.79,98.42
267.57,91.81
296.23,34.56
223.12,128.85
215.36,126.02
256.05,155.4
248.9,204.18
161.9,235.19
102.59,216.67
161.37,56.62
162.53,63.59
206.65,138.12
202.5,180.65
96.52,66.81
205.71,78.24
236.97,134.26
153.07,57.86
101.84,155.9
122.39,198.08
149.18,161.88
95.11,201.03
124.32,143.4
229.24,108.32
84.39,176.95
77.25,324.03
83.3,281.73
89.71,302.89
106.18,208.19
131.44,139.32
97.77,219.07
189.18,129.02
120.07,202.79
68.43,156.41
97.38,156.75
119.54,191.28
154.69,147.61
49.21,262.79
43.47,320.42
57.89,229.29
86.67,269.99
175.54,130.37
220.14,77.91
204.76,38.7
188.89,97.47
170.36,162.36
139.5,164.13
136.23,33.46
76.3,226.79
78.67,158.22
116.49,42.6
149.61,92.91
129.78,68.94
95.97,74.81
66.54,179
81,155.23
45.02,222.99
50.2,189.06
57.1,216.14
65.46,210.43
97,95.07
126.26,86.94
79.08,124.96
None,None
51.44,121.91
102.19,82.41
113.64,45.04
104.64,218.66
101.75,169.16
125.98,158.12
102.11,164.88
83.68,103.55
100.69,140.71
82.24,158.28
46.84,52.9
81.04,123.17
79.29,134.56
101.01,195.33
43.78,132.54
63.84,95.76
57.93,192.47
74.94,129.11
102.84,161.27
73.81,144.97
33.82,150.36
64.48,144.6
76.67,159.33
66.14,95.1
42.45,152.86
46.07,189.53
31.29,104.43
30.31,269.22
60.06,242.35
87.99,218.95
100.62,209.33
123.05,214.18
74.3,274.91
88.41,247.18
110.22,269
129.91,217.62
100.24,229.3
77.13,261.78
75.28,212.78
53.97,124.46
35.96,219.8
39.78,160.77
39.46,117.99
25.24,160.44
70.55,168.19
55.58,160.5
100.7,182.51
91.58,190.98
82.17,211.71
69.19,240.29
53.53,128
55.05,95.05
52.43,81.44
75.22,121.31
93.79,140.16
110.71,249.65
114.69,277.55
85.8,161.48
68.84,192.02
107.82,186.78
93.61,184.26
161.33,209.95
110.81,159.72
123.63,155.22
110.51,133.45
34.23,213.72
122.24,220.3
79.18,191.97
39.07,122.5
60.43,224.71
68.32,247.94
90.84,159.97
55.94,272.71
42.61,251.14
27.12,164.97
25.11,142.62
23.1,172.82
30.86,182.82
99.86,183.33
39.13,125.09
40.21,197.87
34.7,250.42
