PM 2.5,WD,Direction
100.83,279.66,W
108.91,307.24,NW
140.46,158.33,SSE
86.55,130.6,SE
83.77,151.31,SSE
76.5,254.77,WSW
49.87,326.39,NNW
67.74,315.53,NW
100.04,244.16,WSW
100.65,252.95,WSW
74.22,144.01,SE
103.08,284.4,WNW
50.56,327.44,NNW
38.22,329.82,NNW
72.72,279.57,W
75.51,234.39,SW
74.5,274.49,W
98.48,151.03,SSE
133.3,119.99,ESE
77.15,199.43,SSW
62.09,310.96,NW
68.66,230.3,SW
65.41,290.43,WNW
79.71,284.94,WNW
129.16,224.07,SW
96.38,288.46,WNW
64.08,286.12,WNW
92.86,275.88,W
88.83,246.67,WSW
48.76,263.85,W
75.19,236.06,SW
80.82,300.49,WNW
96.13,171.17,S
54.4,258.17,WSW
53.79,162.7,SSE
44.45,102.07,ESE
49.31,265.48,W
107.29,233.53,SW
181.71,273.52,W
175.2,263.6,W
222.0,271.08,W
164.72,215.09,SW
131.86,204.25,SSW
89.52,152.03,SSE
82.61,228.61,SW
97.62,253.62,WSW
72.13,226.79,SW
89.31,123.85,SE
84.98,174.11,S
68.8,150.07,SSE
90.88,221.06,SW
60.1,177.88,S
63.5,158.13,SSE
70.11,132.19,SE
51.6,172.15,S
52.04,112.71,ESE
56.03,135.59,SE
52.06,146.94,SSE
82.55,143.12,SE
97.67,253.03,WSW
28.11,197.54,SSW
47.21,80.46,E
58.97,100.33,E
38.08,142.92,SE
33.51,175.68,S
121.58,290.87,WNW
51.71,301.34,WNW
38.47,269.8,W
76.83,268.99,W
57.38,209.82,SSW
27.94,194.84,SSW
17.34,189.35,S
24.24,183.25,S
56.22,200.2,SSW
37.69,119.24,ESE
68.71,182.34,S
88.11,159.1,SSE
107.25,117.75,ESE
51.97,155.75,SSE
49.48,233.9,SW
68.1,235.49,SW
84.57,277.78,W
54.34,275.3,W
58.12,163.56,SSE
39.82,156.9,SSE
39.04,160.43,SSE
41.04,206.96,SSW
41.99,151.09,SSE
32.07,214.68,SW
41.3,124.99,SE
63.31,96.26,E
29.16,128.33,SE
36.81,85.2,E
30.98,58.04,ENE
51.01,100.28,E
51.48,184.8,S
81.12,214.03,SW
59.77,151.43,SSE
70.07,156.47,SSE
49.35,157.05,SSE
79.71,149.22,SSE
71.35,175.65,S
85.67,242.35,WSW
61.31,284.9,WNW
47.46,270.08,W
58.78,260.49,W
38.97,204.4,SSW
90.8,200.5,SSW
49.9,231.88,SW
42.58,295.4,WNW
53.69,285.38,WNW
44.18,238.91,WSW
48.02,135.36,SE
37.14,134.94,SE
47.13,148.95,SSE
37.22,152.45,SSE
36.42,124.83,SE
46.23,90.48,E
46.46,75.05,ENE
52.83,102.18,ESE
58.66,190.66,S
42.98,158.21,SSE
21.03,169.06,S
41.81,135.35,SE
47.55,113.0,ESE
31.12,90.23,E
42.98,90.24,E
78.07,108.64,ESE
54.33,249.31,WSW
66.06,241.01,WSW
46.56,155.79,SSE
20.69,105.53,ESE
27.98,115.12,ESE
37.03,148.48,SSE
37.14,198.24,SSW
46.26,158.16,SSE
49.1,193.44,SSW
38.61,179.42,S
38.67,202.15,SSW
56.56,187.91,S
31.91,179.27,S
51.44,200.88,SSW
59.43,177.98,S
50.59,203.93,SSW
46.76,83.56,E
29.74,58.93,ENE
25.99,73.88,ENE
29.06,64.58,ENE
27.3,81.31,E
33.37,104.58,ESE
49.26,104.5,ESE
59.89,99.81,E
97.06,170.65,S
38.36,229.09,SW
29.4,200.15,SSW
41.69,272.2,W
45.55,164.41,SSE
69.53,121.06,ESE
58.2,208.38,SSW
27.75,234.43,SW
42.08,227.68,SW
70.21,232.77,SW
71.01,248.83,WSW
27.28,206.58,SSW
33.23,198.29,SSW
36.45,153.8,SSE
43.67,187.43,S
30.36,184.08,S
47.99,189.25,S
53.01,214.77,SW
103.87,189.98,S
52.72,232.01,SW
31.16,238.9,WSW
38.92,228.1,SW
49.78,235.93,SW
33.44,208.38,SSW
51.53,181.12,S
42.29,173.15,S
30.86,160.99,SSE
29.44,249.22,WSW
30.66,110.49,ESE
24.91,24.37,NNE
42.67,53.87,NE
46.15,24.11,NNE
41.67,18.39,NNE
37.43,23.63,NNE
42.61,13.31,NNE
30.36,51.07,NE
29.93,117.19,ESE
48.72,103.55,ESE
57.65,115.48,ESE
71.9,107.27,ESE
60.69,89.05,E
45.44,99.74,E
41.96,114.09,ESE
72.61,119.14,ESE
70.68,115.32,ESE
46.49,115.0,ESE
32.98,101.97,ESE
48.78,94.7,E
52.36,111.07,ESE
63.88,111.95,ESE
81.88,97.21,E
78.36,103.04,ESE
77.95,109.94,ESE
73.88,97.66,E
77.42,108.48,ESE
93.44,91.22,E
77.01,81.96,E
100.25,94.01,E
191.79,99.76,E
164.51,138.11,SE
10.39,149.57,SSE
56.04,119.36,ESE
121.52,110.09,ESE
78.78,84.17,E
67.53,84.82,E
88.73,98.27,E
52.21,103.56,ESE
40.54,105.49,ESE
73.16,104.61,ESE
149.0,96.94,E
133.34,99.22,E
164.74,99.51,E
132.77,87.22,E
160.15,89.4,E
209.56,81.16,E
160.25,87.87,E
191.81,92.79,E
349.76,106.07,ESE
458.02,112.88,ESE
351.91,85.27,E
339.62,80.07,E
301.24,78.32,ENE
308.99,80.79,E
239.01,87.04,E
355.96,93.04,E
379.25,89.75,E
281.46,76.44,ENE
216.44,58.07,ENE
239.69,66.99,ENE
279.69,59.2,ENE
257.93,56.17,NE
207.79,63.72,ENE
247.6,58.84,ENE
255.29,58.86,ENE
200.21,125.81,SE
148.04,336.19,NNW
167.79,255.88,WSW
332.49,207.45,SSW
292.36,117.79,ESE
320.07,82.06,E
270.92,39.33,NE
285.38,47.36,NE
204.83,169.98,S
164.22,220.64,SW
